"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"XTAL1","CRYSTAL,4-SMD,_NO_LEAD","53.2mm","10.75mm","53.2mm","10.75mm","51.8565mm","10.9621mm","T","315.00","NX3225SA-16.000000MHZ-B3"
"J5","Conn,_JST,_4_pin,_2mm_spacing","6mm","27mm","6mm","27mm","9mm","27mm","T","180.00","JST B4B-PH-K-S(LF)(SN)"
"C5","Cap,0805","40.23mm","24.3mm","40.23mm","24.3mm","40.23mm","25.25mm","T","270.00","08055C104JAT2A"
"U6","SOIC-8","35.4mm","24.2mm","35.4mm","24.2mm","37.305mm","26.6mm","T","270.00","CAT24C64WI-G"
"R53","res,_0805,_HD","72.7mm","22.55mm","72.7mm","22.55mm","72.7mm","21.6mm","T","90.00","CRCW0805681RFKEA"
"R52","res,_0805,_HD","78.15mm","22.55mm","78.15mm","22.55mm","78.15mm","23.5mm","T","270.00","CRCW08053K32FKEA"
"R51","res,_0805,_HD","70.745mm","22.555mm","70.745mm","22.555mm","70.745mm","23.505mm","T","270.00","CRCW0805100RJNEAC"
"C6","CAP,_0805,_HD","75.475mm","25.455mm","75.475mm","25.455mm","76.491mm","25.455mm","T","180.00","CL21A106KQFNNNG"
"R4","res,_0805,_HD","5.2mm","15.4mm","5.2mm","15.4mm","5.2mm","14.45mm","T","90.00","ERA-6AEB472V"
"R16","res,_0805,_HD","11.4mm","15.4mm","11.4mm","15.4mm","11.4mm","16.35mm","T","270.00","ERA-6AEB472V"
"R21","res,_0805,_HD","36.53mm","9.78mm","36.53mm","9.78mm","36.53mm","8.83mm","T","90.00","Vishay Dale CRCW0805221RFKTA"
"R23","res,_0805,_HD","34.61mm","9.8mm","34.61mm","9.8mm","34.61mm","8.85mm","T","90.00","Vishay Dale CRCW0805221RFKTA"
"R20","res,_0805,_HD","44.33mm","13.7mm","44.33mm","13.7mm","44.33mm","14.65mm","T","270.00","CRCW0805100RJNEAC"
"R29","res,_0805,_HD","35.75mm","13.7mm","35.75mm","13.7mm","35.75mm","12.75mm","T","90.00","Vishay / Dale CRCW080510K0FKTA"
"R39","res,_0805,_HD","40.5201mm","9.7798mm","40.5201mm","9.7798mm","40.5201mm","8.8298mm","T","90.00","Vishay / Dale CRCW080510K0FKTA"
"R31","res,_0805,_HD","38.54mm","9.78mm","38.54mm","9.78mm","38.54mm","10.73mm","T","270.00","CR0805-JW-471ELF"
"Q1","SOT23-3","43.36mm","9.74mm","43.36mm","9.74mm","42.3012mm","10.6976mm","T","90.00","2N7002ET1G"
"C421","Cap,0805","33.59mm","13.7mm","33.59mm","13.7mm","33.59mm","12.75mm","T","90.00","10nF"
"R38","RES,_0805,_HD","66.59mm","19.44mm","66.59mm","19.44mm","67.54mm","19.44mm","T","180.00","Vishay CRCW08051K00JNEA"
"C33","CAP,0805","52.33mm","25.52mm","52.33mm","25.52mm","52.33mm","26.47mm","T","270.00","08055C104JAT2A"
"C26","CAP,_0805,_HD","66.59mm","21.57mm","66.59mm","21.57mm","67.606mm","21.57mm","T","180.00","08055C104JAT2A"
"R37","RES,_0805,_HD","31.225mm","23.19mm","31.225mm","23.19mm","31.225mm","24.14mm","T","270.00","Vishay CRCW08051K00JNEA"
"R36","RES,_0805,_HD","21.625mm","23.19mm","21.625mm","23.19mm","21.625mm","24.14mm","T","270.00","CRCW0805100KFKEA"
"R35","RES,_0805,_HD","28.225mm","20.29mm","28.225mm","20.29mm","29.175mm","20.29mm","T","180.00","CRCW0805100KFKEA"
"R34","RES,_0805,_HD","24.625mm","20.29mm","24.625mm","20.29mm","23.675mm","20.29mm","T","360.00","Vishay / Dale CRCW080510K0FKTA"
"Q12","SOT23-3","28.225mm","23.19mm","28.225mm","23.19mm","27.2674mm","22.1312mm","T","180.00","SMBT2222A"
"Q11","SOT23-3","24.625mm","23.19mm","24.625mm","23.19mm","23.6674mm","22.1312mm","T","180.00","SMBT2222A"
"C11","CAP,_0805,_HD","79.3mm","25.5mm","79.3mm","25.5mm","78.284mm","25.5mm","T","360.00","CL21A106KQFNNNG"
"C9","CAP,_0805,_HD","80.87mm","16.68mm","80.87mm","16.68mm","79.854mm","16.68mm","T","360.00","CL21A106KQFNNNG"
"U5","SOT23-5","16.815mm","11.75mm","16.815mm","11.75mm","17.765mm","13.0503mm","T","360.00","INA180A1IDBVR"
"U2","SOT23-3","75.47mm","22.555mm","75.47mm","22.555mm","74.4112mm","23.5126mm","T","90.00","Shunt Regulator,2.5Vdc TL431IDBZT"
"U1","SOT23-6","72.6mm","12.1mm","73.55mm","13.3mm","73.55mm","13.3mm","T","270.00","AOZ1280CI"
"R30","RES,_0805,_HD","61.46mm","24.54mm","61.46mm","24.54mm","61.46mm","25.49mm","T","270.00","CR0805-JW-330ELF"
"R28","RES,_0805,_HD","66.53mm","15.18mm","66.53mm","15.18mm","67.4801mm","15.18mm","T","180.00","Vishay CRCW08051K00JNEA"
"R27","RES,_0805,_HD","59.46mm","24.54mm","59.46mm","24.54mm","59.46mm","25.49mm","T","270.00","CR0805-JW-330ELF"
"R49","RES,_0805,_HD","62.91mm","8.21mm","62.91mm","8.21mm","62.91mm","7.26mm","T","90.00","Vishay CRCW08051K00JNEA"
"R48","res,_0805,_HD","10.5mm","11.5mm","10.5mm","11.5mm","10.5mm","10.55mm","T","90.00","TE Connectivity RP73PF2A100KBTDF"
"R46","res,_0805,_HD","6.054mm","11.5mm","6.054mm","11.5mm","6.054mm","10.55mm","T","90.00","TE Connectivity RP73PF2A100KBTDF"
"R15","RES,_0805,_HD","31.15mm","17.425mm","31.15mm","17.425mm","31.15mm","18.375mm","T","270.00","Vishay CRCW08051K00JNEA"
"R13","RES,_0805,_HD","31.225mm","11.74mm","31.225mm","11.74mm","31.225mm","12.69mm","T","270.00","Vishay CRCW08051K00JNEA"
"R12","RES,_0805,_HD","21.625mm","17.425mm","21.625mm","17.425mm","21.625mm","18.375mm","T","270.00","CRCW0805100KFKEA"
"R11","RES,_0805,_HD","21.625mm","11.74mm","21.625mm","11.74mm","21.625mm","12.69mm","T","270.00","CRCW0805100KFKEA"
"R8","RES,_0805,_HD","28.15mm","14.54mm","28.15mm","14.54mm","29.1mm","14.54mm","T","180.00","CRCW0805100KFKEA"
"R7","RES,_0805,_HD","28.225mm","8.44mm","28.225mm","8.44mm","29.175mm","8.44mm","T","180.00","CRCW0805100KFKEA"
"R6","RES,_0805,_HD","24.55mm","14.54mm","24.55mm","14.54mm","23.6mm","14.54mm","T","360.00","Vishay / Dale CRCW080510K0FKTA"
"R5","RES,_0805,_HD","24.625mm","8.44mm","24.625mm","8.44mm","23.675mm","8.44mm","T","360.00","Vishay / Dale CRCW080510K0FKTA"
"R2","RES,_0805,_HD","70.65mm","15.1mm","70.65mm","15.1mm","69.7mm","15.1mm","T","360.00","CRGCQ0805F15K"
"R1","RES,_0805,_HD","70.65mm","17.1mm","70.65mm","17.1mm","71.6mm","17.1mm","T","180.00","TNPW080582K5BEEA"
"U8","48-VFQFN_EXPOSED_PAD","57.15mm","18.18mm","57.15mm","18.18mm","59.8932mm","21.6598mm","T","270.00","MKL26Z64VFT4"
"Q5","SOT23-3","28.225mm","11.74mm","28.225mm","11.74mm","27.2674mm","10.6812mm","T","180.00","SMBT2222A"
"Q4","SOT23-3","24.55mm","17.44mm","24.55mm","17.44mm","23.5924mm","16.3812mm","T","180.00","SMBT2222A"
"Q3","SOT23-3","24.625mm","11.74mm","24.625mm","11.74mm","23.6674mm","10.6812mm","T","180.00","SMBT2222A"
"MOD1","MOD,TEENSY_BOOTS","66.59mm","29.325mm","60.875mm","29.325mm","78.655mm","29.325mm","B","180.00","Teensy Boots"
"L1","IND,2520","81.55mm","13.9mm","81.55mm","12.9mm","81.55mm","12.9mm","T","90.00","CIGT252008LM2R2MNE"
"D1","DO-214AC,_SMA","78.55mm","12.1mm","78.55mm","12.1mm","78.55mm","10.1mm","T","90.00","NRVTSA4100ET3G"
"C24","CAP,_0805,_HD","66.53mm","17.31mm","66.53mm","17.31mm","67.546mm","17.31mm","T","180.00","08055C104JAT2A"
"C28","CAP,_0805,_HD","65.0101mm","8.21mm","65.0101mm","8.21mm","65.0101mm","7.194mm","T","90.00","08055C104JAT2A"
"C21","CAP,_0805,_HD","47.9mm","19.73mm","47.9mm","19.73mm","47.9mm","20.746mm","T","270.00","08055C104JAT2A"
"C20","CAP,_0805,_HD","47.9mm","15.3584mm","47.9mm","15.3584mm","47.9mm","14.3424mm","T","90.00","AVX 08053C225KAT2A"
"C19","CAP,0805","50.166mm","15.355mm","50.166mm","15.355mm","50.166mm","14.405mm","T","90.00","08055C104JAT2A"
"C18","CAP,0805","64.4mm","23.75mm","64.4mm","23.75mm","65.35mm","23.75mm","T","180.00","08055C104JAT2A"
"C17","CAP,0805","55.3841mm","24.397mm","55.3841mm","24.397mm","54.4341mm","24.397mm","T","0.00","08055C104JAT2A"
"C10","CAP,_0805,_HD","76.2mm","19.3mm","76.2mm","19.3mm","75.184mm","19.3mm","T","360.00","08055C104JAT2A"
"C7","CAP,_0805,_HD","71.663mm","25.455mm","71.663mm","25.455mm","70.647mm","25.455mm","T","360.00","08055C104JAT2A"
"C3","CAP,_0805,_HD","69.55mm","12.1mm","69.55mm","12.1mm","69.55mm","13.116mm","T","270.00","08055C104JAT2A"
"C2","CAP,_0805,_HD","69.55mm","8.48mm","69.55mm","8.48mm","69.55mm","7.464mm","T","90.00","AVX 08053C225KAT2A"
"C1","CAP,0805","75.75mm","11.8mm","75.75mm","11.8mm","75.75mm","10.85mm","T","90.00","CL21B103KAANNNC"
"C13","CAP,_0805,_HD","19.54mm","11.775mm","19.54mm","11.775mm","19.54mm","12.791mm","T","270.00","08055C104JAT2A"
"C25","CAP,_0805,_HD","37.269mm","16.633mm","37.269mm","16.633mm","36.253mm","16.633mm","T","360.00","08055C104JAT2A"
"C34","CAP,_0805,_HD","42.16mm","13.7mm","42.16mm","13.7mm","42.16mm","12.684mm","T","90.00","08055C104JAT2A"
"C36","CAP,_0805,_HD","37.26mm","18.91mm","37.26mm","18.91mm","36.244mm","18.91mm","T","360.00","08055C104JAT2A"
"C37","CAP,0805","43.57mm","17.81mm","43.57mm","17.81mm","43.57mm","18.76mm","T","270.00","GRM21A5C2E101JW01D"
"C39","CAP,0805","55.3841mm","26.52mm","55.3841mm","26.52mm","54.4341mm","26.52mm","T","0.00","08055C104JAT2A"
"D7","SOT23-3","3.2mm","11.5mm","3.2mm","11.5mm","2.1412mm","12.4576mm","T","90.00","BAT54SLT1G"
"D8","SOT23-3","13.3mm","11.5mm","13.3mm","11.5mm","14.3588mm","10.5424mm","T","270.00","BAT54SLT1G"
"R47","RES,_0805,_HD","8.3mm","20.5mm","8.3mm","20.5mm","9.25mm","20.5mm","T","180.00","Vishay / Dale CRCW080510K0FKTA"
"R40","RES,_0805,_HD","40.769mm","16.633mm","40.769mm","16.633mm","41.719mm","16.633mm","T","180.00","Vishay CRCW08051K00JNEA"
"R45","RES,_0805,_HD","40.769mm","18.833mm","40.769mm","18.833mm","39.819mm","18.833mm","T","360.00","Vishay / Dale CRCW080510K0FKTA"
"U4","SOT23-5","8.3mm","15.4mm","8.3mm","15.4mm","6.9998mm","16.35mm","T","90.00","TSV911ILT"
"U12","SOT23-5","38.904mm","13.863mm","38.904mm","13.863mm","37.6038mm","14.813mm","T","90.00","LM7321MF/NOPB"
"R44","RES,_0805,_HD","50mm","19.7mm","50mm","19.7mm","50mm","20.65mm","T","270.00","Vishay CRCW08051K00JNEA"
"R54","RES,_0805,_HD","60.99mm","8.21mm","60.99mm","8.21mm","60.99mm","9.16mm","T","270.00","CRCW08052K20FKEA"
"R32","RES,_0805,_HD","34.22mm","18.07mm","34.22mm","18.07mm","34.22mm","19.02mm","T","270.00","Vishay / Dale CRCW080510K0FKTA"
"C14","CAP,_0805,_HD","8.3mm","11.5mm","8.3mm","11.5mm","8.3mm","10.484mm","T","90.00","08055C104JAT2A"
"ESD1","ESDSILK","-33.95mm","-25.5mm","16mm","30.5mm","-33.95mm","-25.5mm","T","0.00","ESD"
"FD1","FIDU-ROUND","14.5mm","19.7mm","14.5mm","19.7mm","14.5mm","19.7mm","T","0.00","FIDU-ROUND"
"FD2","FIDU-ROUND","48.3mm","8.9mm","48.3mm","8.9mm","48.3mm","8.9mm","T","0.00","FIDU-ROUND"
"FD3","FIDU-ROUND","46mm","28.5mm","46mm","28.5mm","46mm","28.5mm","T","270.00","FIDU-ROUND"
"C16","CAP,0805","3.1mm","15.4mm","3.1mm","15.4mm","3.1mm","16.35mm","T","270.00","GRM21A5C2E101JW01D"
"C12","CAP,_0805,_HD","13.5mm","15.3mm","13.5mm","15.3mm","13.5mm","14.284mm","T","90.00","08055C104JAT2A"
"R41","res,_0805,_HD","9.9mm","8.3453mm","9.9mm","8.3453mm","8.95mm","8.3453mm","T","360.00","CRCW0805100KFKEA"
