"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C5","Cap,0805","13.625mm","24.45mm","13.625mm","24.45mm","12.675mm","24.45mm","T","0.00","08055C104JAT2A"
"U6","SOIC-8","14.85mm","28.35mm","14.85mm","28.35mm","12.45mm","30.255mm","T","360.00","CAT24C64WI-G"
"R53","res,_0805,_HD","73.2mm","22.55mm","73.2mm","22.55mm","73.2mm","21.6mm","T","90.00","CRCW0805681RFKEA"
"R52","res,_0805,_HD","78.65mm","22.55mm","78.65mm","22.55mm","78.65mm","23.5mm","T","270.00","CRCW08053K32FKEA"
"R51","res,_0805,_HD","71.245mm","22.555mm","71.245mm","22.555mm","71.245mm","23.505mm","T","270.00","CRCW0805100RJNEAC"
"C6","CAP,_0805,_HD","75.975mm","25.455mm","75.975mm","25.455mm","76.991mm","25.455mm","T","180.00","CL21A106KQFNNNG"
"R4","res,_0805,_HD","12.2503mm","18.196mm","12.2503mm","18.196mm","11.3003mm","18.196mm","T","360.00","ERA-6AEB472V"
"R16","res,_0805,_HD","14.6003mm","15.421mm","14.6003mm","15.421mm","14.6003mm","16.371mm","T","270.00","ERA-6AEB472V"
"R21","res,_0805,_HD","24.73mm","20.18mm","24.73mm","20.18mm","24.73mm","19.23mm","T","90.00","Vishay Dale CRCW0805221RFKTA"
"R23","res,_0805,_HD","22.81mm","20.2mm","22.81mm","20.2mm","22.81mm","19.25mm","T","90.00","Vishay Dale CRCW0805221RFKTA"
"R20","res,_0805,_HD","32.53mm","24.1mm","32.53mm","24.1mm","32.53mm","25.05mm","T","270.00","CRCW0805100RJNEAC"
"R29","res,_0805,_HD","23.95mm","24.1mm","23.95mm","24.1mm","23.95mm","23.15mm","T","90.00","Vishay / Dale CRCW080510K0FKTA"
"R39","res,_0805,_HD","28.7201mm","20.1798mm","28.7201mm","20.1798mm","28.7201mm","19.2298mm","T","90.00","Vishay / Dale CRCW080510K0FKTA"
"R31","res,_0805,_HD","26.74mm","20.18mm","26.74mm","20.18mm","26.74mm","21.13mm","T","270.00","CR0805-JW-471ELF"
"R26","res,_0805,_HD","45.6153mm","25.5901mm","45.6153mm","25.5901mm","45.6153mm","26.5401mm","T","270.00","Vishay CRCW08051K00JNEA"
"Q1","SOT23-3","31.56mm","20.14mm","31.56mm","20.14mm","30.5012mm","21.0976mm","T","90.00","2N7002ET1G"
"C421","Cap,0805","21.79mm","24.1mm","21.79mm","24.1mm","21.79mm","23.15mm","T","90.00","10nF"
"C22","CAP,_0805,_HD","47.675mm","25.7mm","47.675mm","25.7mm","47.675mm","26.716mm","T","270.00","08055C104JAT2A"
"R38","RES,_0805,_HD","62.54mm","18.37mm","62.54mm","18.37mm","63.49mm","18.37mm","T","180.00","Vishay CRCW08051K00JNEA"
"C33","CAP,0805","49.93mm","25.67mm","49.93mm","25.67mm","49.93mm","26.62mm","T","270.00","08055C104JAT2A"
"C26","CAP,_0805,_HD","62.54mm","20.47mm","62.54mm","20.47mm","63.556mm","20.47mm","T","180.00","08055C104JAT2A"
"R37","RES,_0805,_HD","34.85mm","22.36mm","34.85mm","22.36mm","34.85mm","21.41mm","T","90.00","Vishay CRCW08051K00JNEA"
"R36","RES,_0805,_HD","44.45mm","22.36mm","44.45mm","22.36mm","44.45mm","21.41mm","T","90.00","CRCW0805100KFKEA"
"R35","RES,_0805,_HD","37.85mm","25.26mm","37.85mm","25.26mm","36.9mm","25.26mm","T","360.00","CRCW0805100KFKEA"
"R34","RES,_0805,_HD","41.45mm","25.26mm","41.45mm","25.26mm","42.4mm","25.26mm","T","180.00","Vishay / Dale CRCW080510K0FKTA"
"Q12","SOT23-3","37.85mm","22.36mm","37.85mm","22.36mm","38.8076mm","23.4188mm","T","360.00","SMBT2222A"
"Q11","SOT23-3","41.45mm","22.36mm","41.45mm","22.36mm","42.4076mm","23.4188mm","T","360.00","SMBT2222A"
"C11","CAP,_0805,_HD","77.15mm","17.6mm","77.15mm","17.6mm","77.15mm","18.616mm","T","270.00","CL21A106KQFNNNG"
"C9","CAP,_0805,_HD","81.37mm","16.68mm","81.37mm","16.68mm","80.354mm","16.68mm","T","360.00","CL21A106KQFNNNG"
"XTAL1","CRYSTAL,4-SMD,_NO_LEAD","51.79mm","10.12mm","51.79mm","10.12mm","50.4465mm","10.3322mm","T","315.00","NX3225SA-16.000000MHZ-B3"
"U5","SOT23-5","27.115mm","12.65mm","27.115mm","12.65mm","28.065mm","13.9502mm","T","360.00","TSV911ILT"
