Field=Comment~String~Comment~70|Field=Description~String~Description~70|Field=Designator~String~Designator~70|Field=Footprint~String~Footprint~70|Field=LibRef~String~LibRef~70|Field=Manufacturer 1~String~Manufacturer 1~70|Field=Manufacturer 2~String~Manufacturer 2~117|Field=Manufacturer 4~String~Manufacturer 4~117|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~70|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~117|Field=Manufacturer Part Number 4~String~Manufacturer Part Number 4~117|Field=Quantity~Integer~Quantity~70|Field=Supplier 1~String~Supplier 1~70|Field=Supplier 2~String~Supplier 2~117|Field=Supplier 4~String~Supplier 4~117|Field=Supplier Currency 1~String~Supplier Currency 1~70|Field=Supplier Currency 2~String~Supplier Currency 2~117|Field=Supplier Currency 4~String~Supplier Currency 4~117|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~70|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~117|Field=Supplier Order Qty 4~Integer~Supplier Order Qty 4~117|Field=Supplier Part Number 1~String~Supplier Part Number 1~103|Field=Supplier Part Number 2~String~Supplier Part Number 2~117|Field=Supplier Part Number 4~String~Supplier Part Number 4~117|Field=Supplier Stock 1~Integer~Supplier Stock 1~59|Field=Supplier Stock 2~Integer~Supplier Stock 2~117|Field=Supplier Stock 4~Integer~Supplier Stock 4~117|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~59|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~117|Field=Supplier Subtotal 4~Float~Supplier Subtotal 4~117|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~54|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~117|Field=Supplier Unit Price 4~Float~Supplier Unit Price 4~117|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Eload Gen 3 Power Module.PrjPcb|ReportField=ProjectFullPath~C:\Users\shawn\OneDrive\Shawn\electronic load\Cicuit Studio\Gen 3\Eload Gen 3 Power Module\Eload Gen 3 Power Module.PrjPcb|ReportField=Title~BOM_PartType For Project [Eload Gen 3 Power Module.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~44|ReportField=ReportTime~10:31:41 PM|ReportField=ReportDate~2/2/2020|ReportField=ReportDateTime~2/2/2020 10:31:41 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Eload Gen 3 Power Module.PrjPcb|ReportField=DataSourceFullPath~C:\Users\shawn\OneDrive\Shawn\electronic load\Cicuit Studio\Gen 3\Eload Gen 3 Power Module\Eload Gen 3 Power Module.PrjPcb
M3 hex Standoff|HEX STANDOFF M3,generic|M1, M2, M3, M4, M5|Standoff,Hex,M3,8mm|Standoff, M3, Hex|||||||5||||||||||||||||||||||||||||||
 IRLR8726TRPBF| N-Channel 30V 86A (Tc) 75W (Tc) Surface Mount D-Pak|Q7, Q8, Q9|DPAK,3-Leads|MOSFET, N-Chan, Dpak, 30V, 86A, 75W, IRLR8726TRPBF|Infineon|International Rectifier||IRLR8726TRPBF|IRLR8726TRPBF||3|LCSC|Digi-Key||AUD|USD||300|300||C81137|IRLR8726TRPBFCT-ND||2122|20231||58.65|90.39||0.1955|0.3013||||||||||
08055C104JAT2A|Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel|C1, C10, C11|Cap,0805|Cap,0805,100nf,50V,5%,08055C104JAT2A|Kyocera AVX|||08055C104JAT2A|||3|Digi-Key|||USD|||300|||478-3352-1-ND|||2365295|||22.8|||0.076|||||||||||
2N7002ET1G|Small Signal MOSFET, 60 V, 310 mA, Single, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel|Q2, Q5, Q6|SOT23-3|MOSFET,N-Channel,SOT23,0.25A,60V,2N7002ET1G|ON Semiconductor|ON Semiconductor||2N7002ET1G|2N7002ET1G||3|Digi-Key|LCSC||USD|AUD||300|300||2N7002ET1GOSCT-ND|C71533||279972|11958||21.06|6.81||0.0702|0.0227||||||||||
Vishay / Dale CRCW080510K0FKTA|RES SMD 10K OHM 1% 1/8W 0805|R4, R22, R23|res, 0805, HD|Res,0805,10.0kO,1%,100 ppm,CRCW080510K0FKTA|Vishay Dale|||CRCW080510K0FKTA|||3|Digi-Key|||USD|||300|||541-3016-1-ND|||36000|||14.88|||0.0496|||||||||||
TE Connectivity 282836-2|Wire to Board 2 Position 5 mm Pitch 30-16 AWG Euro Style Terminal Block|J2, J5|TERM BLOCK 2POS SIDE ENTRY 5MM|TERM BLOCK 2POS SIDE ENTRY 5MM, 282836-2|||Loading...|||Loading...|2|TME|Newark|Digi-Key|||Loading...||||||A98076-ND||||||||||||Digi-Key||||||
Vishay Dale CRCW0805221RFKTA|RES SMD 221 OHM 1% 1/8W 0805|R6, R8|res, 0805, HD|Res,0805,221O,1%,100ppm,CRCW0805221RFKTA|Vishay|||CRCW0805221RFKEA|||2|Digi-Key|||USD|||200|||541-221CCT-ND|||1567|||5.08|||0.0254|||||||||||
wire teminal, lugs, screw, Keystone 8197|WRIGHT TOOL 8197 Socket, 1 In Dr, 3-1/8 In, 12 Pt, Std. More details: Socket, Drive Size 1 In., Number of Points 12, ...|J1, J3|Keystone 8197|wire teminal, lugs, screw, Keystone 8197|Keystone Electronics|Keystone Electronics|Keystone Electronics|8197|8197-2|8197|2|Digi-Key|Digi-Key|LCSC|USD|USD|AUD|200|200|200|36-8197-ND|36-8197-2-ND|C238177|9241|80|100|96.84|116.48|133.8|0.4842|0.5824|0.669|Keystone Electronics|8197-3|Digi-Key|USD|200|36-8197-3-ND|265|116.48|0.5824
2-644861-3|Connector Header Through Hole 3 position 0.100" (2.54mm)|J6|Connector,TE,3-Pin,Male,Vert,2-644861-3|Conntector, though hole, TE, 3pin, 2.54mm,2-644861-3|TE Connectivity|||2-644861-3|||1|Digi-Key|||USD|||100|||A30932-ND|||0|||36.77|||0.3677|||||||||||
BAT54CLT1G|BAT54CLT1G Series 30V 600 mA Dual Common Cathode Schottky Barrier Diode-SOT-23-3|D2|SOT23-3|Diode, SOT-23-3,600ma,30V,Dual Common Cathode, BAT54CLT1G|ON Semiconductor|ON Semiconductor||BAT54CLT1G|BAT54CLT1G||1|Digi-Key|LCSC||USD|AUD||100|100||BAT54CLT1GOSCT-ND|C14308||163113|284920||5.32|2.43||0.0532|0.0243||||||||||
CR0805-JW-105ELF|RES SMD 1M OHM 5% 1/8W 0805|R1|res, 0805, HD|Res,0805,1MegO,5%,200ppm,0805W8F1005T5E|Bourns|||CR0805-JW-105ELF|||1|Digi-Key|||USD|||100|||CR0805-JW-105ELFCT-ND|||82871|||0.71|||0.0071|||||||||||
