"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R18","res,_0805,_HD","33.1mm","6.104mm","33.1mm","6.104mm","33.1mm","7.054mm","B","270.00","Vishay CRCW08051K00JNEA"
"C9","Cap,0805","25.4mm","18.054mm","25.4mm","18.054mm","26.35mm","18.054mm","B","180.00","08055C104JAT2A"
"U1","TSSOP-16","22.55mm","13.854mm","22.55mm","13.854mm","25.35mm","16.129mm","B","180.00","TCA9534APWR"
"R22","res,_0805,_HD","33.1476mm","13.7373mm","33.1476mm","13.7373mm","33.1476mm","14.6873mm","B","270.00","Vishay CRCW08051K00JNEA"
"R21","res,_0805,_HD","38.7975mm","13.8021mm","38.7975mm","13.8021mm","38.7975mm","14.7521mm","B","270.00","CRCW0805100RJNEAC"
"R20","res,_0805,_HD","33.1476mm","9.9207mm","33.1476mm","9.9207mm","33.1476mm","10.8707mm","B","270.00","Vishay CRCW08051K00JNEA"
"R19","res,_0805,_HD","38.7975mm","10.0001mm","38.7975mm","10.0001mm","38.7975mm","10.9501mm","B","270.00","CRCW0805100RJNEAC"
"R17","res,_0805,_HD","38.7975mm","6.1982mm","38.7975mm","6.1982mm","38.7975mm","7.1482mm","B","270.00","CRCW0805100RJNEAC"
"R16","res,_0805,_HD","17.3mm","13.254mm","17.3mm","13.254mm","17.3mm","14.204mm","B","270.00","Vishay / Dale CRCW080510K0FKTA"
"Q6","SOT23-3","35.9mm","13.7901mm","35.9mm","13.7901mm","34.8412mm","12.8324mm","B","270.00","2N7002ET1G"
"Q5","SOT23-3","35.9mm","9.9714mm","35.9mm","9.9714mm","34.8412mm","9.0138mm","B","270.00","2N7002ET1G"
"Q4","SOT23-3","35.9mm","6.1528mm","35.9mm","6.1528mm","34.8412mm","5.1952mm","B","270.00","2N7002ET1G"
"D4","LED,SMD,Bottom_Entry,1206","82.3458mm","54.354mm","82.3333mm","52.554mm","82.3333mm","52.554mm","B","90.00","LTST-C230KGKT"
"D3","LED,SMD,Bottom_Entry,1206","86.1792mm","54.354mm","86.1667mm","52.554mm","86.1667mm","52.554mm","B","90.00","LTST-C230KGKT"
"D2","LED,SMD,Bottom_Entry,1206","90.0125mm","54.354mm","90mm","52.554mm","90mm","52.554mm","B","90.00","LTST-C230KGKT"
"C1","CAP,_0805,_HD","15mm","27.404mm","15mm","27.404mm","15mm","28.42mm","B","270.00","2u2"
"C2","Cap,0805","13.001mm","27.4006mm","13.001mm","27.4006mm","13.001mm","28.3506mm","B","270.00","08055C104JAT2A"
"C3","CAP,_0805,_HD","94.049mm","49.797mm","94.049mm","49.797mm","94.049mm","48.781mm","B","90.00","08055C104JAT2A"
"C4","CAP,_0805,_HD","115.45mm","33.954mm","115.45mm","33.954mm","115.45mm","32.938mm","B","90.00","08055C104JAT2A"
"C5","CAP,_0805,_HD","90.95mm","37.654mm","90.95mm","37.654mm","90.95mm","36.638mm","B","90.00","08055C104JAT2A"
"C6","Cap,0805","54.9mm","48.104mm","54.9mm","48.104mm","55.85mm","48.104mm","B","180.00","08055C104JAT2A"
"C7","CAP,_0805,_HD","108.25mm","43.654mm","108.25mm","43.654mm","108.25mm","42.638mm","B","90.00","08055C104JAT2A"
"C8","CAP,_0805,_HD","98.05mm","43.554mm","98.05mm","43.554mm","98.05mm","42.538mm","B","90.00","08055C104JAT2A"
"J2","Connector,FlatFlex,20Pin,RA","68.5mm","28.954mm","68.5mm","28.954mm","78mm","30.004mm","B","180.00","SFW20R-1STE1LF"
"LCD1","LCD_Module_16x2_-_IIC_MOD","47.128mm","32.404mm","49.5mm","32.404mm","7.256mm","28.428mm","T","360.00","LCD, 20x4"
"MOD1","Mod,_SD_Card_Connector_Breakout","51.966mm","49.242mm","44.166mm","53.867mm","44.166mm","53.867mm","T","360.00","SD Card Connector Breakout"
"Q1","SOT23-3","19mm","20.904mm","19mm","20.904mm","20.0588mm","21.8616mm","B","90.00","2N7002ET1G"
"Q2","SOT23-3","19mm","24.404mm","19mm","24.404mm","20.0588mm","25.3616mm","B","90.00","2N7002ET1G"
"R1","res,_0805,_HD","91.95mm","49.904mm","91.95mm","49.904mm","91.95mm","48.954mm","B","90.00","Vishay / Dale CRCW080510K0FKTA"
"R2","res,_0805,_HD","23.2mm","21.904mm","23.2mm","21.904mm","24.15mm","21.904mm","B","180.00","CR0805-JW-330ELF"
"R3","res,_0805,_HD","13mm","23.404mm","13mm","23.404mm","13mm","22.454mm","B","90.00","CRCW08052K20FKEA"
"R4","res,_0805,_HD","23.1mm","25.404mm","23.1mm","25.404mm","24.05mm","25.404mm","B","180.00","CR0805-JW-330ELF"
"R5","res,_0805,_HD","113.35mm","34.054mm","113.35mm","34.054mm","113.35mm","33.104mm","B","90.00","Vishay / Dale CRCW080510K0FKTA"
